Training repr mode 'a' for 5 epochs on device cpu for task 'pos'
Epoch 1/5
Sentences seen: 73500, Dev Acc: 0.9540
Sentences seen: 74000, Dev Acc: 0.9535
Sentences seen: 74500, Dev Acc: 0.9515
Sentences seen: 75000, Dev Acc: 0.9522
Sentences seen: 75500, Dev Acc: 0.9517
Epoch 2 TRAIN loss: 0.1329 | TRAIN accuracy: 0.9593
Last dev acc: 0.9517
Epoch 3/5
Sentences seen: 76000, Dev Acc: 0.9519
Sentences seen: 76500, Dev Acc: 0.9515
Sentences seen: 77000, Dev Acc: 0.9522
Sentences seen: 77500, Dev Acc: 0.9539
Sentences seen: 78000, Dev Acc: 0.9537
Sentences seen: 78500, Dev Acc: 0.9539
Sentences seen: 79000, Dev Acc: 0.9548
Sentences seen: 79500, Dev Acc: 0.9541
Sentences seen: 80000, Dev Acc: 0.9540
Sentences seen: 80500, Dev Acc: 0.9527
Sentences seen: 81000, Dev Acc: 0.9538
Sentences seen: 81500, Dev Acc: 0.9542
Sentences seen: 82000, Dev Acc: 0.9526
Sentences seen: 82500, Dev Acc: 0.9530
Sentences seen: 83000, Dev Acc: 0.9537
Sentences seen: 83500, Dev Acc: 0.9537
Sentences seen: 84000, Dev Acc: 0.9535
Sentences seen: 84500, Dev Acc: 0.9542
Sentences seen: 85000, Dev Acc: 0.9540
Sentences seen: 85500, Dev Acc: 0.9531
Sentences seen: 86000, Dev Acc: 0.9545
Sentences seen: 86500, Dev Acc: 0.9541
Sentences seen: 87000, Dev Acc: 0.9528
Sentences seen: 87500, Dev Acc: 0.9534
Sentences seen: 88000, Dev Acc: 0.9540
Sentences seen: 88500, Dev Acc: 0.9543
Sentences seen: 89000, Dev Acc: 0.9536
Sentences seen: 89500, Dev Acc: 0.9546
Sentences seen: 90000, Dev Acc: 0.9533
Sentences seen: 90500, Dev Acc: 0.9541
Sentences seen: 91000, Dev Acc: 0.9537
Sentences seen: 91500, Dev Acc: 0.9527
Sentences seen: 92000, Dev Acc: 0.9548
Sentences seen: 92500, Dev Acc: 0.9539
Sentences seen: 93000, Dev Acc: 0.9543
Sentences seen: 93500, Dev Acc: 0.9540
Sentences seen: 94000, Dev Acc: 0.9547
Sentences seen: 94500, Dev Acc: 0.9550
Sentences seen: 95000, Dev Acc: 0.9543
Sentences seen: 95500, Dev Acc: 0.9552
Sentences seen: 96000, Dev Acc: 0.9536
Sentences seen: 96500, Dev Acc: 0.9543
Sentences seen: 97000, Dev Acc: 0.9542
Sentences seen: 97500, Dev Acc: 0.9544
Sentences seen: 98000, Dev Acc: 0.9552
Sentences seen: 98500, Dev Acc: 0.9542
Sentences seen: 99000, Dev Acc: 0.9540
Sentences seen: 99500, Dev Acc: 0.9527
Sentences seen: 100000, Dev Acc: 0.9528
Sentences seen: 100500, Dev Acc: 0.9533
Sentences seen: 101000, Dev Acc: 0.9547
Sentences seen: 101500, Dev Acc: 0.9540
Sentences seen: 102000, Dev Acc: 0.9549
Sentences seen: 102500, Dev Acc: 0.9554
Sentences seen: 103000, Dev Acc: 0.9559
Sentences seen: 103500, Dev Acc: 0.9550
Sentences seen: 104000, Dev Acc: 0.9548
Sentences seen: 104500, Dev Acc: 0.9553
Sentences seen: 105000, Dev Acc: 0.9549
Sentences seen: 105500, Dev Acc: 0.9545
Sentences seen: 106000, Dev Acc: 0.9553
Sentences seen: 106500, Dev Acc: 0.9554
Sentences seen: 107000, Dev Acc: 0.9552
Sentences seen: 107500, Dev Acc: 0.9549
Sentences seen: 108000, Dev Acc: 0.9559
Sentences seen: 108500, Dev Acc: 0.9550
Sentences seen: 109000, Dev Acc: 0.9550
Sentences seen: 109500, Dev Acc: 0.9538
Sentences seen: 110000, Dev Acc: 0.9559
Sentences seen: 110500, Dev Acc: 0.9560
Sentences seen: 111000, Dev Acc: 0.9551
Sentences seen: 111500, Dev Acc: 0.9549
Sentences seen: 112000, Dev Acc: 0.9553
Sentences seen: 112500, Dev Acc: 0.9566
Sentences seen: 113000, Dev Acc: 0.9566
Epoch 3 TRAIN loss: 0.0948 | TRAIN accuracy: 0.9693
Last dev acc: 0.9566
Epoch 4/5
Sentences seen: 113500, Dev Acc: 0.9565
Sentences seen: 114000, Dev Acc: 0.9570
Sentences seen: 114500, Dev Acc: 0.9551
Sentences seen: 115000, Dev Acc: 0.9549
Sentences seen: 115500, Dev Acc: 0.9556
Sentences seen: 116000, Dev Acc: 0.9571
Sentences seen: 116500, Dev Acc: 0.9558
Sentences seen: 117000, Dev Acc: 0.9563
Sentences seen: 117500, Dev Acc: 0.9566
Sentences seen: 118000, Dev Acc: 0.9556
Sentences seen: 118500, Dev Acc: 0.9543
Sentences seen: 119000, Dev Acc: 0.9557
Sentences seen: 119500, Dev Acc: 0.9551
Sentences seen: 120000, Dev Acc: 0.9555
Sentences seen: 120500, Dev Acc: 0.9540
Sentences seen: 121000, Dev Acc: 0.9545
